Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres
The Card Counter,(2021),111 min,6.3,77        ,"25,911",-,R,"
Crime, Drama, Thriller            "
Brokeback Mountain,(2005),134 min,7.7,87        ,"351,589",$83.04M,R,"
Drama, Romance            "
Alpha Dog,(2006),122 min,6.9,53        ,"103,119",$15.23M,R,"
Biography, Crime, Drama            "
Fractured,(I) (2019),99 min,6.4,36        ,"71,881",-,TV-MA,"
Thriller            "
We Are Marshall,(2006),131 min,7.0,53        ,"60,939",$43.55M,PG,"
Drama, Sport            "
Blade,(1998),120 min,7.1,47        ,"268,385",$70.09M,R,"
Action, Horror, Sci-Fi            "
White Chicks,(2004),109 min,5.7,41        ,"142,797",$70.83M,PG-13,"
Comedy, Crime            "
Wrong Turn,(2021),109 min,5.5,46        ,"29,137",-,R,"
Horror, Thriller            "
Stargate,(1994),116 min,7.0,42        ,"188,576",$71.57M,PG-13,"
Action, Adventure, Sci-Fi            "
Midnight in Paris,(2011),94 min,7.7,81        ,"417,670",$56.82M,PG-13,"
Comedy, Fantasy, Romance            "
Death Proof,(2007),127 min,7.0,-,"287,242",-,TV-MA,"
Action, Thriller            "
"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        ,"492,096",$54.51M,R,"
Comedy, Crime, Drama            "
Valley Girl,(1983),99 min,6.4,66        ,"15,346",$16.80M,R,"
Comedy, Romance            "
Falling Inn Love,(2019),98 min,5.6,-,"19,592",-,TV-PG,"
Comedy, Romance            "
Drag Me to Hell,(2009),99 min,6.6,83        ,"200,874",$42.10M,PG-13,"
Horror            "
Inside Man,(2006),129 min,7.6,76        ,"367,390",$88.51M,R,"
Crime, Drama, Mystery            "
The Deer Hunter,(1978),183 min,8.1,86        ,"334,530",$48.98M,R,"
Drama, War            "
Once Upon a Time in Mexico,(2003),102 min,6.3,56        ,"161,323",$56.36M,R,"
Action, Crime, Thriller            "
Marriage Story,(2019),137 min,7.9,94        ,"296,305",$2.00M,R,"
Drama, Romance            "
Closer,(I) (2004),104 min,7.2,65        ,"216,296",$33.99M,R,"
Drama, Romance            "
The Mitchells vs the Machines,(2021),114 min,7.6,81        ,"102,220",-,PG,"
Animation, Adventure, Comedy            "
Sky High,(2005),100 min,6.3,62        ,"86,290",$63.95M,PG,"
Action, Comedy, Family            "
X-Men: First Class,(2011),131 min,7.7,65        ,"682,197",$146.41M,PG-13,"
Action, Adventure, Sci-Fi            "
U.S. Marshals,(1998),131 min,6.5,47        ,"104,839",$57.17M,PG-13,"
Action, Crime, Thriller            "
Polar,(I) (2019),118 min,6.3,19        ,"87,752",-,TV-MA,"
Action, Crime, Drama            "
9½ Weeks,(1986),117 min,5.9,50        ,"40,753",$6.73M,R,"
Drama, Romance            "
King Kong,(2005),187 min,7.2,81        ,"417,530",$218.08M,PG-13,"
Action, Adventure, Drama            "
The Warriors,(1979),93 min,7.5,65        ,"101,589",$22.49M,R,"
Action, Crime, Thriller            "
The Courier,(2020),112 min,7.1,65        ,"56,386",-,PG-13,"
Drama, History, Thriller            "
12 Years a Slave,(2013),134 min,8.1,96        ,"687,899",$56.67M,R,"
Biography, Drama, History            "
Not Another Teen Movie,(2001),89 min,5.7,32        ,"104,995",$38.25M,R,"
Comedy            "
American Hustle,(2013),138 min,7.2,90        ,"473,406",$150.12M,R,"
Crime, Drama            "
The Hot Spot,(1990),130 min,6.4,56        ,"11,936",$1.29M,R,"
Crime, Drama, Romance            "
Suspiria,(I) (2018),152 min,6.7,64        ,"74,437",$2.47M,R,"
Drama, Fantasy, Horror            "
But I'm a Cheerleader,(1999),85 min,6.7,39        ,"31,904",$2.21M,R,"
Comedy, Drama, Romance            "
Hell or High Water,(II) (2016),102 min,7.6,88        ,"226,229",$26.86M,R,"
Action, Crime, Drama            "
Bill & Ted Face the Music,(2020),91 min,5.9,65        ,"45,354",-,PG-13,"
Adventure, Comedy, Music            "
Passengers,(I) (2016),116 min,7.0,41        ,"393,745",$100.01M,PG-13,"
Drama, Romance, Sci-Fi            "
Beauty and the Beast,(1991),84 min,8.0,95        ,"444,595",$218.97M,G,"
Animation, Family, Fantasy            "
"Monsters, Inc.",(2001),92 min,8.1,79        ,"886,532",$289.92M,G,"
Animation, Adventure, Comedy            "
Pretty Baby,(1978),110 min,6.5,66        ,"10,839",$5.79M,R,"
Drama            "
Dumb and Dumber,(1994),107 min,7.3,41        ,"378,348",$127.18M,PG-13,"
Comedy            "
Love & Other Drugs,(2010),112 min,6.7,55        ,"200,666",$32.37M,R,"
Comedy, Drama, Romance            "
V for Vendetta,(2005),132 min,8.2,62        ,"1,101,596",$70.51M,R,"
Action, Drama, Sci-Fi            "
Finch,(2021),115 min,6.8,57        ,"77,263",-,PG-13,"
Adventure, Drama, Sci-Fi            "
Knock Knock,(I) (2015),99 min,4.9,53        ,"92,784",$0.04M,R,"
Drama, Thriller            "
Ant-Man,(2015),117 min,7.3,64        ,"645,043",$180.20M,PG-13,"
Action, Adventure, Comedy            "
Flight,(I) (2012),138 min,7.3,76        ,"348,512",$93.77M,R,"
Drama, Thriller            "
Silver Linings Playbook,(2012),122 min,7.7,81        ,"700,102",$132.09M,R,"
Comedy, Drama, Romance            "
Groundhog Day,(1993),101 min,8.1,72        ,"616,971",$70.91M,PG,"
Comedy, Drama, Fantasy            "
The Hitman's Bodyguard,(2017),118 min,6.9,47        ,"226,544",$75.47M,R,"
Action, Comedy, Crime            "
The Protégé,(2021),109 min,6.1,48        ,"29,404",-,R,"
Action, Thriller            "
Step Brothers,(2008),98 min,6.9,51        ,"290,167",$100.47M,R,"
Comedy            "
El Dorado,(1966),126 min,7.5,85        ,"26,909",$12.97M,Passed,"
Drama, Romance, Western            "
The Reader,(2008),124 min,7.6,58        ,"242,237",$34.19M,R,"
Drama, Romance            "
Extraction,(2020),116 min,6.7,56        ,"193,531",-,R,"
Action, Thriller            "
RoboCop,(1987),102 min,7.6,70        ,"253,562",$53.42M,R,"
Action, Crime, Sci-Fi            "
13 Hours,(2016),144 min,7.3,48        ,"138,880",$52.85M,R,"
Action, Drama, History            "
The Butterfly Effect,(2004),113 min,7.6,30        ,"481,847",$57.94M,R,"
Drama, Sci-Fi, Thriller            "
Miami Vice,(2006),132 min,6.0,66        ,"116,363",$63.45M,R,"
Action, Adventure, Crime            "
The Mummy Returns,(2001),130 min,6.4,48        ,"319,923",$202.02M,PG-13,"
Action, Adventure, Fantasy            "
Eurovision Song Contest: The Story of Fire Saga,(2020),123 min,6.5,50        ,"92,136",-,PG-13,"
Comedy, Musical            "
In Bruges,(2008),107 min,7.9,67        ,"415,439",$7.76M,R,"
Comedy, Crime, Drama            "
Fast & Furious,(2009),107 min,6.5,46        ,"283,244",$155.06M,PG-13,"
Action, Crime, Thriller            "
Up,(2009),96 min,8.3,88        ,"1,017,489",$293.00M,PG,"
Animation, Adventure, Comedy            "
Everybody Wants Some!!,(2016),117 min,6.9,83        ,"54,983",$3.37M,R,"
Comedy            "
Notting Hill,(1999),124 min,7.2,68        ,"303,920",$116.09M,PG-13,"
Comedy, Drama, Romance            "
The Blind Side,(2009),129 min,7.6,53        ,"325,348",$255.96M,PG-13,"
Biography, Drama, Sport            "
The Quick and the Dead,(1995),108 min,6.5,49        ,"93,309",$18.64M,R,"
Action, Romance, Thriller            "
Amadeus,(1984),160 min,8.4,88        ,"394,563",$51.97M,R,"
Biography, Drama, Music            "
Iron Man 2,(2010),124 min,6.9,57        ,"796,073",$312.43M,PG-13,"
Action, Adventure, Sci-Fi            "
Poltergeist,(1982),114 min,7.3,79        ,"159,014",$76.61M,PG,"
Horror, Thriller            "
The Girl Next Door,(2007),91 min,6.5,29        ,"26,160",-,R,"
Crime, Drama, Thriller            "
Valkyrie,(2008),121 min,7.1,56        ,"241,665",$83.08M,PG-13,"
Drama, History, Thriller            "
Oz the Great and Powerful,(2013),130 min,6.3,44        ,"206,920",$234.91M,PG,"
Adventure, Family, Fantasy            "
Tangled,(2010),100 min,7.7,71        ,"441,910",$200.82M,PG,"
Animation, Adventure, Comedy            "
Kingsman: The Golden Circle,(2017),141 min,6.7,44        ,"319,049",$100.23M,R,"
Action, Adventure, Comedy            "
The Man from U.N.C.L.E.,(2015),116 min,7.2,56        ,"302,249",$45.45M,PG-13,"
Action, Adventure, Comedy            "
The Dirty Dozen,(1967),150 min,7.7,73        ,"72,306",$45.30M,Approved,"
Action, Adventure, War            "
The Ballad of Buster Scruggs,(2018),133 min,7.3,79        ,"143,069",-,R,"
Comedy, Drama, Musical            "
The Babysitter,(I) (2017),85 min,6.3,-,"89,747",-,TV-MA,"
Comedy, Horror            "
Ghostbusters II,(1989),108 min,6.6,56        ,"203,901",$112.49M,PG,"
Action, Comedy, Fantasy            "
The Witches,(2020),106 min,5.3,47        ,"38,782",-,PG,"
Adventure, Comedy, Family            "
Lion,(2016),118 min,8.0,69        ,"232,966",$51.74M,PG-13,"
Biography, Drama            "
Michael Clayton,(2007),119 min,7.2,82        ,"164,604",$49.03M,R,"
Crime, Drama, Mystery            "
The Guardian,(I) (2006),139 min,6.8,53        ,"92,405",$55.01M,PG-13,"
Action, Adventure, Drama            "
Casablanca,(1942),102 min,8.5,100        ,"561,063",$1.02M,PG,"
Drama, Romance, War            "
The Rocky Horror Picture Show,(1975),100 min,7.4,65        ,"148,294",$139.88M,R,"
Comedy, Horror, Musical            "
Evil Dead II,(1987),84 min,7.7,72        ,"161,528",$5.92M,R,"
Comedy, Horror            "
Big Hero 6,(2014),102 min,7.8,74        ,"449,696",$222.53M,PG,"
Animation, Action, Adventure            "
Palm Springs,(2020),90 min,7.4,83        ,"150,521",-,R,"
Comedy, Fantasy, Mystery            "
Mulan,(2020),115 min,5.7,66        ,"144,615",-,PG-13,"
Action, Adventure, Drama            "
The Mask,(1994),101 min,6.9,56        ,"377,838",$119.94M,PG-13,"
Action, Comedy, Crime            "
The Bad Batch,(2016),118 min,5.2,62        ,"31,148",$0.18M,R,"
Action, Horror, Mystery            "
The Wedding Singer,(1998),97 min,6.9,59        ,"148,378",$80.25M,PG-13,"
Comedy, Music, Romance            "
Little Children,(2006),137 min,7.5,75        ,"111,000",$5.46M,R,"
Drama, Romance            "
Pacific Rim,(2013),131 min,6.9,65        ,"494,493",$101.80M,PG-13,"
Action, Adventure, Sci-Fi            "
Wedding Crashers,(2005),119 min,7.0,64        ,"351,365",$209.22M,R,"
Comedy, Romance            "
The Nice Guys,(2016),116 min,7.3,70        ,"314,873",$36.26M,R,"
Action, Comedy, Crime            "
Hercules,(1997),93 min,7.3,74        ,"225,844",$99.05M,G,"
Animation, Adventure, Comedy            "
Alice Through the Looking Glass,(2016),113 min,6.1,34        ,"106,397",$77.04M,PG,"
Adventure, Family, Fantasy            "
The Tender Bar,(2021),106 min,6.7,53        ,"25,389",-,R,"
Drama            "
Brothers,(I) (2009),105 min,7.1,58        ,"124,467",$28.50M,R,"
Drama, Thriller, War            "
The Matrix Reloaded,(2003),138 min,7.2,62        ,"586,146",$281.49M,R,"
Action, Sci-Fi            "
Unbroken,(I) (2014),137 min,7.2,59        ,"165,283",$115.64M,PG-13,"
Action, Biography, Drama            "
Gunpowder Milkshake,(2021),114 min,6.0,47        ,"41,864",-,R,"
Thriller            "
Greyhound,(2020),91 min,7.0,64        ,"93,602",-,PG-13,"
Action, Drama, History            "
Halloween,(1978),91 min,7.7,87        ,"266,783",$47.00M,R,"
Horror, Thriller            "
Kong: Skull Island,(2017),118 min,6.6,62        ,"312,055",$168.05M,PG-13,"
Action, Adventure, Fantasy            "
Gattaca,(1997),106 min,7.8,64        ,"299,588",$12.34M,PG-13,"
Drama, Sci-Fi, Thriller            "
A Bug's Life,(I) (1998),95 min,7.2,77        ,"287,579",$162.80M,G,"
Animation, Adventure, Comedy            "
How to Train Your Dragon,(2010),98 min,8.1,75        ,"722,655",$217.58M,PG,"
Animation, Action, Adventure            "
"Hello, My Name Is Doris",(2015),90 min,6.6,63        ,"20,970",$14.44M,R,"
Comedy, Drama, Romance            "
Footloose,(1984),107 min,6.6,42        ,"78,871",$80.04M,PG,"
Drama, Music, Romance            "
True Grit,(2010),110 min,7.6,80        ,"334,529",$171.24M,PG-13,"
Drama, Western            "
Terminator: Dark Fate,(2019),128 min,6.2,54        ,"172,662",$62.25M,R,"
Action, Adventure, Sci-Fi            "
Vacation,(I) (2015),99 min,6.1,34        ,"110,354",$58.88M,R,"
Adventure, Comedy            "
The Graduate,(1967),106 min,8.0,83        ,"270,178",$104.95M,PG,"
Comedy, Drama, Romance            "
The Virgin Suicides,(1999),97 min,7.2,76        ,"153,291",$4.86M,R,"
Drama, Romance            "
Memoirs of a Geisha,(2005),145 min,7.3,54        ,"147,733",$57.49M,PG-13,"
Drama, Romance            "
Open Range,(2003),139 min,7.4,67        ,"72,569",$58.33M,R,"
Action, Drama, Romance            "
Finding Neverland,(2004),106 min,7.7,67        ,"205,505",$51.68M,PG,"
Biography, Drama, Family            "
Toy Story 4,(2019),100 min,7.7,84        ,"239,673",$434.04M,G,"
Animation, Adventure, Comedy            "
The Last House on the Left,(2009),110 min,6.5,42        ,"91,798",$32.75M,R,"
Action, Adventure, Crime            "
Little Women,(1994),115 min,7.3,87        ,"57,910",$50.08M,PG,"
Drama, Family, Romance            "
John Wick: Chapter 2,(2017),122 min,7.4,75        ,"416,542",$92.03M,R,"
Action, Crime, Thriller            "
Hidden,(I) (2015),84 min,6.4,-,"21,619",-,R,"
Horror, Sci-Fi, Thriller            "
Billy Madison,(1995),89 min,6.3,16        ,"142,763",$25.59M,PG-13,"
Comedy            "
Spotlight,(I) (2015),129 min,8.1,93        ,"460,761",$45.06M,R,"
Biography, Crime, Drama            "
Red Dawn,(2012),93 min,5.3,31        ,"76,962",$44.81M,PG-13,"
Action, Drama            "
Valerian and the City of a Thousand Planets,(2017),136 min,6.4,51        ,"178,678",$41.19M,PG-13,"
Action, Adventure, Fantasy            "
Conan the Barbarian,(1982),129 min,6.9,43        ,"147,445",$39.57M,R,"
Action, Adventure, Fantasy            "
Smokin' Aces,(2006),108 min,6.6,45        ,"144,837",$35.66M,R,"
Action, Comedy, Crime            "
Training Day,(2001),122 min,7.7,69        ,"426,550",$76.63M,R,"
Action, Crime, Drama            "
Total Recall,(1990),113 min,7.5,57        ,"324,865",$119.39M,R,"
Action, Adventure, Sci-Fi            "
Killing Them Softly,(2012),97 min,6.2,64        ,"142,808",$15.03M,R,"
Crime, Drama, Thriller            "
X-Men: Days of Future Past,(2014),132 min,7.9,75        ,"700,380",$233.92M,PG-13,"
Action, Adventure, Sci-Fi            "
A Beautiful Day in the Neighborhood,(2019),109 min,7.3,80        ,"77,484",$61.70M,PG,"
Biography, Drama            "
Bombshell,(I) (2019),109 min,6.8,64        ,"111,961",-,R,"
Biography, Drama            "
The 40-Year-Old Virgin,(2005),116 min,7.1,73        ,"428,710",$109.45M,R,"
Comedy, Romance            "
West Side Story,(1961),153 min,7.6,86        ,"112,891",$43.66M,Approved,"
Crime, Drama, Musical            "
RED,(2010),111 min,7.0,60        ,"305,955",$90.38M,PG-13,"
Action, Comedy, Crime            "
Blood Diamond,(2006),143 min,8.0,64        ,"538,628",$57.37M,R,"
Adventure, Drama, Thriller            "
The Last of the Mohicans,(1992),112 min,7.7,76        ,"166,587",$75.51M,R,"
Action, Adventure, Drama            "
Percy Jackson & the Olympians: The Lightning Thief,(2010),118 min,5.8,47        ,"187,246",$88.76M,PG,"
Adventure, Family, Fantasy            "
Deliverance,(1972),109 min,7.7,80        ,"107,100",$7.06M,R,"
Adventure, Drama, Thriller            "
Quantum of Solace,(2008),106 min,6.6,58        ,"442,792",$168.37M,PG-13,"
Action, Adventure, Thriller            "
The King of Staten Island,(2020),136 min,7.1,67        ,"63,527",-,R,"
Comedy, Drama            "
No Strings Attached,(I) (2011),108 min,6.2,50        ,"227,762",$70.66M,R,"
Comedy, Romance            "
The Secret Life of Walter Mitty,(2013),114 min,7.3,54        ,"312,997",$58.24M,PG,"
Adventure, Comedy, Drama            "
Night at the Museum,(2006),108 min,6.4,48        ,"340,874",$250.86M,PG,"
Adventure, Comedy, Family            "
Papillon,(I) (2017),133 min,7.2,51        ,"73,325",$2.34M,R,"
Adventure, Biography, Crime            "
Mr. & Mrs. Smith,(2005),120 min,6.5,55        ,"485,446",$186.34M,PG-13,"
Action, Comedy, Crime            "
Legends of the Fall,(1994),133 min,7.5,45        ,"162,757",$66.64M,R,"
Drama, Romance, War            "
Once Upon a Time in the West,(1968),165 min,8.5,80        ,"324,134",$5.32M,PG-13,"
Western            "
Coraline,(2009),100 min,7.7,80        ,"220,593",$75.29M,PG,"
Animation, Drama, Family            "
The Marksman,(2021),108 min,5.6,44        ,"32,008",-,PG-13,"
Action, Adventure, Drama            "
Saw,(2004),103 min,7.6,46        ,"411,757",$56.00M,R,"
Horror, Mystery, Thriller            "
The Waterboy,(1998),90 min,6.1,41        ,"161,749",$161.49M,PG-13,"
Comedy, Sport            "
Incredibles 2,(2018),118 min,7.6,80        ,"286,963",$608.58M,PG,"
Animation, Action, Adventure            "
Kiss Kiss Bang Bang,(2005),103 min,7.5,72        ,"225,387",$4.24M,R,"
Comedy, Crime, Mystery            "
We Need to Talk About Kevin,(2011),112 min,7.5,68        ,"152,123",$1.74M,R,"
Drama, Mystery, Thriller            "
No Escape,(1994),118 min,6.1,-,"20,275",$15.34M,R,"
Action, Drama, Sci-Fi            "
Perfume: The Story of a Murderer,(2006),147 min,7.5,56        ,"247,399",$2.22M,R,"
Crime, Drama, Fantasy            "
Road to Perdition,(2002),117 min,7.7,72        ,"264,356",$104.45M,R,"
Crime, Drama, Thriller            "
Lone Survivor,(2013),121 min,7.5,60        ,"283,456",$125.10M,R,"
Action, Biography, Drama            "
The Parent Trap,(1998),128 min,6.6,64        ,"134,520",$66.31M,PG,"
Adventure, Comedy, Drama            "
Copshop,(2021),107 min,6.2,61        ,"27,714",-,R,"
Action, Crime, Thriller            "
Showgirls,(1995),128 min,4.9,16        ,"67,467",$20.30M,NC-17,"
Drama            "
Gran Torino,(2008),116 min,8.1,72        ,"763,660",$148.10M,R,"
Drama            "
Men in Black,(1997),98 min,7.3,71        ,"555,920",$250.69M,PG-13,"
Action, Adventure, Comedy            "
Mystic River,(2003),138 min,7.9,84        ,"450,018",$90.14M,R,"
Crime, Drama, Mystery            "
I'm Thinking of Ending Things,(2020),134 min,6.6,78        ,"82,190",-,R,"
Drama, Thriller            "
WALL·E,(2008),98 min,8.4,95        ,"1,087,710",$223.81M,G,"
Animation, Adventure, Family            "
Rampage,(2018),107 min,6.1,45        ,"163,542",$101.03M,PG-13,"
Action, Adventure, Sci-Fi            "
Gerald's Game,(2017),103 min,6.5,77        ,"105,918",-,TV-MA,"
Drama, Horror, Thriller            "
The Company You Keep,(2012),125 min,6.4,57        ,"33,293",$5.13M,R,"
Drama, Thriller            "
The Machinist,(2004),101 min,7.7,61        ,"383,133",$1.08M,R,"
Drama, Thriller            "
Rocketman,(I) (2019),121 min,7.3,69        ,"169,902",$96.37M,R,"
Biography, Drama, Musical            "
"Crouching Tiger, Hidden Dragon",(2000),120 min,7.9,94        ,"266,392",$128.08M,PG-13,"
Action, Adventure, Drama            "
500 Days of Summer,(2009),95 min,7.7,76        ,"504,591",$32.39M,PG-13,"
Comedy, Drama, Romance            "
My Cousin Vinny,(1992),120 min,7.6,68        ,"122,198",$52.93M,R,"
Comedy, Crime            "
Piranha 3D,(2010),88 min,5.5,53        ,"90,430",$25.00M,R,"
Comedy, Horror            "
The Mist,(2007),126 min,7.1,58        ,"300,864",$25.59M,R,"
Horror, Sci-Fi, Thriller            "
The Great Outdoors,(1988),91 min,6.6,24        ,"46,215",$41.46M,PG,"
Comedy            "
The Favourite,(2018),119 min,7.5,91        ,"195,791",$34.37M,R,"
Biography, Comedy, Drama            "
Allegiant,(2016),120 min,5.6,33        ,"120,074",$66.18M,PG-13,"
Action, Adventure, Mystery            "
Vegas Vacation,(1997),93 min,5.9,20        ,"49,071",$36.43M,PG,"
Comedy            "
District 9,(2009),112 min,7.9,81        ,"672,184",$115.65M,R,"
Action, Sci-Fi, Thriller            "
The Firm,(1993),154 min,6.8,58        ,"132,578",$158.35M,R,"
Drama, Mystery, Thriller            "
Midnight Express,(1978),121 min,7.5,59        ,"79,028",$35.00M,R,"
Biography, Crime, Drama            "
Rango,(2011),107 min,7.2,75        ,"259,308",$123.48M,PG,"
Animation, Action, Adventure            "
Atomic Blonde,(2017),115 min,6.7,63        ,"190,448",$51.69M,R,"
Action, Thriller            "
X-Men: Dark Phoenix,(2019),113 min,5.7,43        ,"181,914",$65.85M,PG-13,"
Action, Adventure, Sci-Fi            "
Wrong Turn,(I) (2003),84 min,6.1,32        ,"118,657",$15.42M,R,"
Horror, Thriller            "
The Lost City of Z,(2016),141 min,6.6,78        ,"89,782",$8.58M,PG-13,"
Adventure, Biography, Drama            "
Jennifer's Body,(2009),102 min,5.4,47        ,"131,756",$16.20M,R,"
Comedy, Horror            "
The Count of Monte Cristo,(2002),131 min,7.7,61        ,"136,899",$54.23M,PG-13,"
Action, Adventure, Drama            "
Batman v Superman: Dawn of Justice,(2016),152 min,6.4,44        ,"687,744",$330.36M,PG-13,"
Action, Adventure, Sci-Fi            "
Magic Mike,(2012),110 min,6.1,72        ,"137,525",$113.72M,R,"
Comedy, Drama            "
The Conjuring: The Devil Made Me Do It,(2021),112 min,6.3,53        ,"107,651",-,R,"
Horror, Mystery, Thriller            "
The Nightingale,(I) (2018),136 min,7.3,77        ,"29,444",$0.39M,R,"
Adventure, Drama, Thriller            "
Wanted,(2008),110 min,6.7,64        ,"383,808",$134.51M,R,"
Action, Crime, Thriller            "
Jackie Brown,(1997),154 min,7.5,64        ,"342,770",$39.67M,R,"
Crime, Drama, Thriller            "
Enemy of the State,(1998),132 min,7.3,67        ,"241,720",$111.55M,R,"
Action, Thriller            "
Allied,(2016),124 min,7.1,60        ,"154,046",$40.10M,R,"
Action, Drama, Romance            "
Triple Frontier,(2019),125 min,6.4,61        ,"125,349",-,R,"
Action, Adventure, Crime            "
Antlers,(2021),99 min,5.9,57        ,"33,869",-,R,"
Drama, Horror, Mystery            "
Munich: The Edge of War,(2021),130 min,6.8,53        ,"27,674",-,PG-13,"
Biography, Drama, History            "
Cinderella,(I) (2015),105 min,6.9,67        ,"174,808",$201.15M,PG,"
Adventure, Drama, Family            "
The Visit,(I) (2015),94 min,6.2,55        ,"129,139",$65.21M,PG-13,"
Horror, Mystery, Thriller            "
Furious 7,(2015),137 min,7.1,67        ,"384,764",$353.01M,PG-13,"
Action, Crime, Thriller            "
Clue,(1985),94 min,7.2,39        ,"94,971",$14.64M,PG,"
Comedy, Crime, Mystery            "
Walk Hard: The Dewey Cox Story,(2007),96 min,6.8,63        ,"72,548",$18.32M,R,"
Comedy, Music            "
Gemini Man,(2019),117 min,5.7,38        ,"111,935",$48.55M,PG-13,"
Action, Adventure, Sci-Fi            "
Young Frankenstein,(1974),106 min,8.0,80        ,"156,116",$86.30M,PG,"
Comedy            "
Before Sunrise,(1995),101 min,8.1,77        ,"299,813",$5.54M,R,"
Drama, Romance            "
Paddington 2,(2017),103 min,7.8,88        ,"74,309",$40.44M,PG,"
Adventure, Comedy, Family            "
Holes,(2003),117 min,7.0,71        ,"87,168",$67.41M,PG,"
Adventure, Comedy, Drama            "
Mrs. Doubtfire,(1993),125 min,7.1,53        ,"264,692",$219.20M,PG-13,"
Comedy, Drama            "
The Fugitive,(1993),130 min,7.8,87        ,"289,849",$183.88M,PG-13,"
Action, Crime, Drama            "
Kimi,(2022),89 min,6.3,79        ,"25,698",-,R,"
Crime, Drama, Thriller            "
Ava,(IV) (2020),96 min,5.4,39        ,"53,638",-,R,"
Action, Thriller            "
Alien: Resurrection,(1997),109 min,6.2,63        ,"244,184",$47.75M,R,"
Action, Horror, Sci-Fi            "
Madagascar,(2005),86 min,6.9,57        ,"395,489",$193.60M,PG,"
Animation, Adventure, Comedy            "
Carrie,(2013),100 min,5.8,53        ,"139,514",$35.27M,R,"
Drama, Horror            "
Fast Five,(2011),130 min,7.3,66        ,"376,305",$209.84M,PG-13,"
Action, Crime, Thriller            "
The Rental,(2020),88 min,5.7,62        ,"29,794",-,R,"
Drama, Horror, Mystery            "
Always,(1989),122 min,6.4,50        ,"30,108",$43.86M,PG,"
Drama, Fantasy, Romance            "
GoldenEye,(1995),130 min,7.2,65        ,"254,662",$106.60M,PG-13,"
Action, Adventure, Thriller            "
Face/Off,(1997),138 min,7.3,82        ,"371,496",$112.23M,R,"
Action, Crime, Sci-Fi            "
Gangs of New York,(2002),167 min,7.5,72        ,"434,953",$77.81M,R,"
Crime, Drama            "
Shame,(2011),101 min,7.2,72        ,"193,741",$4.00M,NC-17,"
Drama            "
Dallas Buyers Club,(2013),117 min,7.9,79        ,"479,132",$27.30M,R,"
Biography, Drama            "
The Predator,(2018),107 min,5.3,48        ,"127,160",$51.02M,R,"
Action, Adventure, Sci-Fi            "
The Saint,(1997),116 min,6.2,50        ,"67,938",$61.36M,PG-13,"
Action, Adventure, Romance            "
Striptease,(1996),115 min,4.5,37        ,"45,558",$33.11M,R,"
Comedy, Crime, Drama            "
Ed Wood,(1994),127 min,7.8,70        ,"174,813",$5.89M,R,"
Biography, Comedy, Drama            "
Kate,(I) (2021),106 min,6.2,47        ,"58,466",-,R,"
Action, Adventure, Crime            "
The Dead Don't Die,(2019),104 min,5.4,53        ,"76,209",$6.56M,R,"
Comedy, Fantasy, Horror            "
Set It Up,(2018),105 min,6.5,62        ,"51,191",-,TV-14,"
Comedy, Romance            "
The Da Vinci Code,(2006),149 min,6.6,46        ,"426,966",$217.54M,PG-13,"
Mystery, Thriller            "
The Bridge on the River Kwai,(1957),161 min,8.2,87        ,"217,833",$44.91M,PG,"
Adventure, Drama, War            "
I Spit on Your Grave,(2010),108 min,6.2,27        ,"83,254",$0.09M,R,"
Horror, Thriller            "
Sweet Home Alabama,(2002),108 min,6.2,45        ,"112,302",$127.22M,PG-13,"
Comedy, Romance            "
Primal Fear,(1996),129 min,7.7,47        ,"209,166",$56.12M,R,"
Crime, Drama, Mystery            "
Buried,(2010),95 min,7.0,65        ,"159,641",$1.03M,R,"
Drama, Mystery, Thriller            "
Lilo & Stitch,(2002),85 min,7.3,73        ,"185,911",$145.79M,PG,"
Animation, Adventure, Comedy            "
The Year of Living Dangerously,(1982),115 min,7.1,65        ,"21,234",$10.28M,PG,"
Drama, Romance, War            "
Overboard,(1987),112 min,6.9,53        ,"59,102",$26.71M,PG,"
Comedy, Romance            "
Sicario: Day of the Soldado,(2018),122 min,7.1,61        ,"144,232",$50.07M,R,"
Action, Adventure, Crime            "
Crash,(I) (2004),112 min,7.8,66        ,"433,907",$54.58M,R,"
Crime, Drama, Thriller            "
The Joneses,(2009),96 min,6.4,55        ,"40,277",$1.47M,R,"
Comedy, Drama            "
Planet of the Apes,(2001),119 min,5.7,50        ,"218,585",$180.01M,PG-13,"
Action, Adventure, Sci-Fi            "
Fantastic Four,(I) (2005),106 min,5.7,40        ,"326,712",$154.70M,PG-13,"
Action, Adventure, Fantasy            "
Aladdin,(1992),90 min,8.0,86        ,"405,687",$217.35M,G,"
Animation, Adventure, Comedy            "
Eastern Promises,(2007),100 min,7.6,82        ,"240,572",$17.11M,R,"
Crime, Drama, Thriller            "
12 Monkeys,(1995),129 min,8.0,74        ,"609,942",$57.14M,R,"
Mystery, Sci-Fi, Thriller            "
Outbreak,(1995),127 min,6.6,64        ,"128,523",$67.82M,R,"
Action, Drama, Thriller            "
Moonrise Kingdom,(2012),94 min,7.8,84        ,"344,844",$45.51M,PG-13,"
Comedy, Drama, Romance            "
Kung Fu Panda,(2008),92 min,7.6,74        ,"457,824",$215.43M,PG,"
Animation, Action, Adventure            "
